cycle, observation, reward, action, explored, explore_rate, total reward, average reward
19844, 1, 1, 1, 0, 4.77543e-10, 15251, 0.768545
19845, 1, 1, 1, 0, 4.77066e-10, 15252, 0.768556
19846, 0, 0, 1, 0, 4.76589e-10, 15252, 0.768518
19847, 1, 1, 1, 0, 4.76112e-10, 15253, 0.768529
19848, 1, 1, 1, 0, 4.75636e-10, 15254, 0.768541
19849, 1, 1, 1, 0, 4.7516e-10, 15255, 0.768553
19850, 0, 0, 1, 0, 4.74685e-10, 15255, 0.768514
19851, 1, 1, 1, 0, 4.74211e-10, 15256, 0.768526
19852, 1, 1, 1, 0, 4.73736e-10, 15257, 0.768537
19853, 1, 1, 1, 0, 4.73263e-10, 15258, 0.768549
19854, 1, 1, 1, 0, 4.72789e-10, 15259, 0.76856
19855, 1, 1, 1, 0, 4.72317e-10, 15260, 0.768572
19856, 1, 1, 1, 0, 4.71844e-10, 15261, 0.768584
19857, 1, 1, 1, 0, 4.71372e-10, 15262, 0.768595
19858, 0, 0, 1, 0, 4.70901e-10, 15262, 0.768557
19859, 1, 1, 1, 0, 4.7043e-10, 15263, 0.768568
19860, 1, 1, 1, 0, 4.6996e-10, 15264, 0.76858
19861, 1, 1, 1, 0, 4.6949e-10, 15265, 0.768592
19862, 1, 1, 1, 0, 4.6902e-10, 15266, 0.768603
19863, 1, 1, 0, 0, 4.68551e-10, 15267, 0.768615
19864, 1, 0, 1, 0, 4.68083e-10, 15267, 0.768576
19865, 1, 1, 1, 0, 4.67615e-10, 15268, 0.768588
19866, 1, 1, 1, 0, 4.67147e-10, 15269, 0.7686
19867, 1, 1, 1, 0, 4.6668e-10, 15270, 0.768611
19868, 1, 1, 1, 0, 4.66213e-10, 15271, 0.768623
19869, 1, 1, 1, 0, 4.65747e-10, 15272, 0.768635
19870, 1, 1, 1, 0, 4.65281e-10, 15273, 0.768646
19871, 1, 1, 1, 0, 4.64816e-10, 15274, 0.768658
19872, 1, 1, 1, 0, 4.64351e-10, 15275, 0.768669
19873, 1, 1, 1, 0, 4.63887e-10, 15276, 0.768681
19874, 1, 1, 1, 0, 4.63423e-10, 15277, 0.768693
19875, 1, 1, 1, 0, 4.62959e-10, 15278, 0.768704
